"","stgno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"11",11,133,216,73,1,95,55,39,115,54,608,657,442.684341859014,816,662,0.113970588235294,0.188725490196078,0.0850906739708412,0.173234340192598,0.599889687073363,1.08481896653577,-0.262571466117186,-0.121279237102476,0.0380273955892393,0.249998638617386,0.0373134328358209,0.221198156682028,0.0380273955892393,0.249998638617386,0.986486486486487,0.738486842105263
"12",12,216,203,187,256,9,64,3,10,10,713,253,398.384628087043,736,723,0.0176630434782609,0.0176630434782609,0.0139278017444687,0.0139278017444687,0.144169790829578,0.0820973621872006,0.033821733660713,0.068491710131422,-0.0715320180056278,0.0153680302283139,-0.0741525423728814,0,-0.0715320180056277,0,0.422121896162528,0.32258064516129
"13",13,203,404,180,21,230,7,28,42,61,662,587,435.69400603036,793,723,0.112232030264817,0.0882723833543506,0.0881436662217565,0.0615128002210342,0.120249128151577,0.80845802707094,0.0162594146275293,-0.0540031261196093,0.0741079721537218,-0.0140189211793309,0.00446428571428571,0,0.00447428039492111,0,0.895522388059702,0.688821752265861
"14",14,404,174,146,16,6,261,44,42,79,625,602,443.995513549082,790,704,0.155696202531646,0.108860759493671,0.119026706421641,0.0650383961792222,1.01780825625281,0.175448677506193,0.0102688529135138,0.0651006203373273,-0.00711746776886399,0.123060092757227,0,0.068421052631579,0,0.0708743395866569,0.901234567901235,0.6992
"15",15,174,181,157,273,76,35,12,6,19,648,218,396.86721950483,685,667,0.0452554744525547,0.0262773722627737,0.028899349563349,0.00921665510492395,0.102809493866221,0.142251225917518,0.0716543260864254,0.03826151239347,-0.0394788109737875,-0.108439471246118,-0.0402684563758389,-0.114537444933921,-0.0394788109737875,-0.108439471246118,0.365116279069767,0.279320987654321
"16",16,181,445,158,5,234,3,44,20,144,510,642,440.235922360763,718,654,0.261838440111421,0.0891364902506964,0.248696625738827,0.0384662808277961,0.135901998238859,1.03547924913927,0.0907815629583895,0.0279398457999736,0.113758885356658,0.125311302077175,0.0860215053763441,0.117777777777778,0.0899482366629396,0.125311302077175,0.969325153374233,0.850980392156863
"17",17,445,138,130,6,1,0,30,2,378,152,549,381.757723499208,562,530,0.725978647686833,0.0569395017793594,1.24899648569989,0.0130720815673528,1.23053983171066,0.0597192347016223,NA,0.0285640669218267,1.19881245376663,0.0498323737478758,0.685144124168514,0.0277777777777778,1.15564028190142,0.0281708769666964,0.955882352941177,0.914473684210526
"18",18,138,0,0,0,0,0,2,0,143,11,150,NA,156,154,0.92948717948718,0.0128205128205128,2.63905732961526,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.454545454545455
"19",19,0,0,0,0,0,5,0,0,0,11,0,NA,11,11,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"20",20,0,0,0,0,5,NA,0,0,1,10,1,NA,11,11,0.0909090909090909,0,0.0953101798043249,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"21",21,0,NA,NA,NA,NA,NA,1,NA,10,NA,11,NA,11,10,1,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
