"","stgno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"11",11,0,98.02,0,0,74.7,0,29.04,72.36,24.78,316.72,300.36,NA,442.9,341.5,0.121424079206966,0.228866101415974,0.0753114205496927,0.205774761277889,NA,NA,NA,NA,NA,0.271716997085099,NA,0.236243911672919,NA,0.271716997085099,NA,0.550077197909192
"12",12,98.02,84.04,65.12,85.92,0,51,9.92,20.66,12.82,376.26,157.54,206.420608681949,419.66,389.08,0.0542236755907699,0.0728678328545915,0.0335402982347855,0.0534619915161413,0.409082174651948,0.255752713624714,0.0285115617803257,NA,-0.0941277900668298,0.118349906530831,-0.0846397024110273,0,-0.0809602694973394,0,0.431739893046255,0.303447598986434
"13",13,84.04,155.78,66.08,30.56,86.1,9.48,29.14,31.82,34.58,362.34,277.9,229.455398627404,457.88,396.92,0.139108415024118,0.133144356039954,0.0911704708014879,0.0842424753110329,0.24091466438843,0.858570801351199,0.0188279014827967,0.0163428710992472,0.0770712843870921,0.0196533726273198,0.00120100206307103,0.0248725372731272,0.00121976976958879,0.0254723815261658,0.68428638310811,0.503338859681167
"14",14,155.78,84.86,57.12,14.18,16.06,87.44,38.3,28.06,53.64,340.52,314.42,221.473204185233,460.52,394.16,0.199565898737848,0.143985463283479,0.146367370109701,0.0791674123643607,1.00473209621873,0.396482965808564,0.0380653063952991,0.0159123529369416,0.0686398326188645,0.12549877920059,0.0667927383365903,0.071082506017251,0.0700372396049927,0.0746657630440814,0.801563885738952,0.571119192653958
"15",15,84.86,89.88,65.78,106.92,38.26,34.02,15.62,8.5,17.72,350.86,140.9,209.14791141206,392.7,368.58,0.0848760815580822,0.0614232872082128,0.0492983297876346,0.0239571370678686,0.255312597869434,0.313126828305867,0.0509625208820511,0.091040065400234,-0.0750731213134602,-0.0693756230315698,-0.0783807597138441,-0.0722441617297536,-0.0750731213134602,-0.0693756230315698,0.381055565803523,0.282446823097872
"16",16,89.88,171.56,66.44,15.04,85.34,7.4,42.7,17,96.78,262.58,330.22,228.54425756085,419.06,359.36,0.332656629722504,0.142493571151573,0.313747430971727,0.0628013640678718,0.303292699800714,0.95029985962302,0.0588473653419359,-0.0163669302004078,0.166219905961115,0.112345408857257,0.0635505960176031,0.105621055709843,0.0666280935472688,0.112345408857257,0.816160872622158,0.661819665651784
"17",17,171.56,88.72,69.5,19.18,5.52,NA,29.46,4.34,161.62,117.96,279.8,201.652818562217,313.38,279.58,0.609599704488858,0.107691009956009,0.863053530052819,0.0362817115734584,0.904632916988228,0.244830992611293,NA,0.0404809156239094,NA,0.136091616780536,NA,0.0264150816945733,NA,0.027287750729347,0.784094372553964,0.715472945785335
"18",18,88.72,NA,NA,NA,NA,NA,8.18,NA,122.3,NA,130.48,NA,130.48,122.3,1,0.0626701726184808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
